product_title,sentiment,review
"Life Extension, BIOTIN 30 Grams Powder",Positive,"Life Extension, BIOTIN 30 Grams Powder is excellent! I would buy it again."
"Life Extension, BIOTIN 30 Grams Powder",Negative,"Life Extension, BIOTIN 30 Grams Powder made me feel unwell. Not a fan."
"Life Extension, BIOTIN 30 Grams Powder",Neutral,"The Life Extension, BIOTIN 30 Grams Powder is okay. Some benefits but no major changes."
"Life Extension, VITAMIN B3 NIACIN 1000 MG 100 CAPSULES",Positive,"This is a must-have! Life Extension, VITAMIN B3 NIACIN 1000 MG 100 CAPSULES is so effective."
"Life Extension, VITAMIN B3 NIACIN 1000 MG 100 CAPSULES",Negative,"Life Extension, VITAMIN B3 NIACIN 1000 MG 100 CAPSULES made me feel unwell. Not a fan."
"Life Extension, VITAMIN B3 NIACIN 1000 MG 100 CAPSULES",Neutral,"Overall, Life Extension, VITAMIN B3 NIACIN 1000 MG 100 CAPSULES is just alright. I might consider trying something else next time."
Graminex PollenAid Prostate Supplement,Positive,"All Natural Prostate Support for Bladder Control & Urinary Tract Health, Rye Pollen Extract Made in USA, 90 Capsules: Graminex PollenAid Prostate Supplement: All Natural Prostate Support for Bladder Control & Urinary Tract Health, Rye Pollen Extract Made in USA, 90 Capsules is excellent! I would buy it again."
Graminex PollenAid Prostate Supplement,Negative,"All Natural Prostate Support for Bladder Control & Urinary Tract Health, Rye Pollen Extract Made in USA, 90 Capsules: Sadly, Graminex PollenAid Prostate Supplement: All Natural Prostate Support for Bladder Control & Urinary Tract Health, Rye Pollen Extract Made in USA, 100% Natural & 100% Safe, 100 Capsules did not work as advertised."
Graminex PollenAid Prostate Supplement,Neutral,"All Natural Prostate Support for Bladder Control & Urinary Tract Health, Rye Pollen Extract Made in USA, 90 Capsules: Graminex PollenAid Prostate Supplement: All Natural Prostate Support for Bladder Control & Urinary Tract Health, Rye Pollen Extract Made in USA, 90 Capsules works fine. I'm not overwhelmed, but it hasn't harmed me either."
Genuine Health,Positive,multi+ complete (60Tablets): I highly recommend Genuine Health: multi+ complete (60Tablets). It has made a noticeable difference in my overall well-being.
Genuine Health,Negative,"multi+ complete (60Tablets): I had high hopes for Genuine Health: multi+ screen, easy to use (60Tablets), but it fell flat."
Genuine Health,Neutral,multi+ complete (60Tablets): Nothing special about Genuine Health: multi+ complete (60Tablets). Just another supplement.
"Yerba Prima Men’s Rebuildò Capsules, 90-Count",Positive,"Absolutely love Yerba Prima Men’s Rebuildò Capsules, 90-Count! I've experienced amazing results, and I can't recommend it enough."
"Yerba Prima Men’s Rebuildò Capsules, 90-Count",Negative,"Regrettably, Yerba Prima Men’s Rebuildò Capsules, 90-Count didn't deliver the promised results."
"Yerba Prima Men’s Rebuildò Capsules, 90-Count",Neutral,"The Yerba Prima Men’s Rebuildò Capsules, 90-Count is fine, but not life-changing."
Swanson Vitamin A & D Skin Eye Immune System Health 500 Sgels,Positive,I'm so happy with Swanson Vitamin A & D Skin Eye Immune System Health 500 Sgels! It works wonders and tastes great too!
Swanson Vitamin A & D Skin Eye Immune System Health 500 Sgels,Negative,I would not recommend Swanson Vitamin A & D Skin Eye Immune System Health 500 Sgels. It was a waste of money for me.
Swanson Vitamin A & D Skin Eye Immune System Health 500 Sgels,Neutral,Nothing special about Swanson Vitamin A & D Skin Eye Immune System Health 500 Sgels. It's just another supplement.
Swanson Immune Supportive Cod Liver Derived High Absorption Vitamin A 10000 Iu (3000 mcg) 250 Softgels (2 Pack),Positive,Fantastic results! I've been using the Immune Supportive Cod Liver Derived High Absorption Vitamin A 10000 Iu (3000 mcg) 250 Softgels (2 Pack)! I've noticed a significant improvement.
Swanson Immune Supportive Cod Liver Derived High Absorption Vitamin A 10000 Iu (3000 mcg) 250 Softgels (2 Pack),Negative,"Sadly, Swanson Immune Supportive Cod Liver Derived High Absorption Vitamin A 10000 Iu (3000 mcg) 250 Softgels (2 Pack) did not work as advertised. Very disappointing."
Swanson Immune Supportive Cod Liver Derived High Absorption Vitamin A 10000 Iu (3000 mcg) 250 Softgels (2 Pack),Neutral,"Swanson Immune Supportive Cod Liver Derived High Absorption Vitamin A 10000 Iu (3000 mcg) 250 Softgels (2 Pack) works fine. I'm not overwhelmed, but it hasn't harmed me either."
Ecological Formulas - Monolaurin 300 mg 90 Caps,Positive,Love Ecological Formulas - Monolaurin 300 mg 90 Caps! Amazing results!
Ecological Formulas - Monolaurin 300 mg 90 Caps,Negative,I'm not happy with Ecological Formulas - Monolaurin 300 mg 90 Caps. It didn't meet my expectations and I felt no difference after using it.
Ecological Formulas - Monolaurin 300 mg 90 Caps,Neutral,"The Ecological Formulas - Monolaurin 300 mg 90 Caps is okay. It has some benefits, but I haven't noticed any major changes."
Ecardy Back Posture Corrector for Women & Men - Effective and Comfortable Posture Brace for Slouching & Hunching - Discreet Design – Posture Chest Supports,Positive,This is the best Ecardy Back Posture Corrector for Women & Men - Effective and Comfortable Posture Brace for Slouching & Hunching - Discreet Design – Posture Chest Supports I've ever tried. Worth every penny!
Ecardy Back Posture Corrector for Women & Men - Effective and Comfortable Posture Brace for Slouching & Hunching - Discreet Design – Posture Chest Supports,Negative,"Honestly, I expected better from Ecardy Back Posture Corrector for Women & Men - Effective and Comfortable Posture Brace for Slouching & Hunching - Discreet Design – Posture Chest Supports. I won't buy it again."
Ecardy Back Posture Corrector for Women & Men - Effective and Comfortable Posture Brace for Slouching & Hunching - Discreet Design – Posture Chest Supports,Neutral,"The Ecardy Back Posture Corrector for Women & Men - Effective and Comfortable Posture Brace for Slouching & Hunching - Discreet Design – Posture Chest Supports is okay. It has some benefits, but I haven't noticed any major changes."
Aubrey Organics - Dry Skin Travel Kit Rosa Mosqueta - 4 Items,Positive,"Absolutely love Aubrey Organics - Dry Skin Travel Kit Rosa Mosqueta - 4 Items! I've experienced amazing results, and I can't recommend it enough."
Aubrey Organics - Dry Skin Travel Kit Rosa Mosqueta - 4 Items,Negative,Disappointed with Aubrey Organics - Dry Skin Travel Kit Rosa Mosqueta - 4 Items. No noticeable effects.
Aubrey Organics - Dry Skin Travel Kit Rosa Mosqueta - 4 Items,Neutral,"Neither good nor bad, Aubrey Organics - Dry Skin Travel Kit Rosa Mosqueta - 4 Items is acceptable."
Fruit of the Earth (Buy One Get One Free) Lotion Vitamin-E 11 oz. (Case of 2),Positive,Highly recommend Fruit of the Earth (Buy One Get One Free) Lotion Vitamin-E 11 oz. (Case of 2)! It really delivers.
Fruit of the Earth (Buy One Get One Free) Lotion Vitamin-E 11 oz. (Case of 2),Negative,Don't waste your time on Fruit of the Earth (Buy One Get One Free) Lotion Vitamin-E 11 oz. (Case of 2). It's overrated.
Fruit of the Earth (Buy One Get One Free) Lotion Vitamin-E 11 oz. (Case of 2),Neutral,"I think Fruit of the Earth (Buy One Get One Free) Lotion Vitamin-E 11 oz. (Case of 2) is average. Does the job, but nothing extraordinary."
"Colonial Dames Concentrated Vitamin E Moisturizing Cream 14,000 I.U. for Hydrating & Moisturizing Chapped Dry Skin & Fine Lines.",Positive,"I'm thrilled with Colonial Dames Concentrated Vitamin E Moisturizing Cream 14,000 I.U. for Hydrating & Moisturing Chapped Dry Skin & Fine Lines.. It's effective, and I feel great using it!"
"Colonial Dames Concentrated Vitamin E Moisturizing Cream 14,000 I.U. for Hydrating & Moisturizing Chapped Dry Skin & Fine Lines.",Negative,"I'm not happy with Colonial Dames Concentrated Vitamin E Moisturizing Cream 14,000 I.C.U. for Hydrating & Oil & Chapped Dry Skin & Fine Lines.. It didn't work for me."
"Colonial Dames Concentrated Vitamin E Moisturizing Cream 14,000 I.U. for Hydrating & Moisturizing Chapped Dry Skin & Fine Lines.",Neutral,"I'm indifferent about Colonial Dames Concentrated Vitamin E Moisturizing Cream 14,000 I.C.U. for Hydrating & Moisturing Chapped Dry Skin & Fine Lines.. It's a regular product. I don't like it."
"Appearex Biotin Tablets, 2.5 mg, 84-Count Box",Positive,"Great choice! Appearex Biotin Tablets, 2.5 mg, 84-Count Box has been fantastic for me."
"Appearex Biotin Tablets, 2.5 mg, 84-Count Box",Negative,"I didn't like Appearex Biotin Tablets, 2.5 mg, 84-Count Box at all. It made me feel unwell."
"Appearex Biotin Tablets, 2.5 mg, 84-Count Box",Neutral,"Nothing special about Appearex Biotin Tablets, 2.5 mg, 84-Count Box. Just another supplement."
"NAture's Answer Wild Yam | Promotes Overall Wellness | Made with Low Organic Alcohol | Gluten-Free, Non-GMO & Kosher Certified 2oz",Positive,"I'm really impressed with NAture's Answer Wild Yam | Promotes Overall Wellness | Made with Low Organic Alcohol | Gluten-Free, Non-GMO & Kosher Certified 2oz. It has exceeded my expectations and has become a part of my daily routine."
"NAture's Answer Wild Yam | Promotes Overall Wellness | Made with Low Organic Alcohol | Gluten-Free, Non-GMO & Kosher Certified 2oz",Negative,"I had high hopes for NAture's Answer Wild Yam | Promotes Overall Wellness | Made with Low Organic Alcohol | Gluten-Free, Non-GMO & Kosher Certified 2oz, but it fell flat."
"NAture's Answer Wild Yam | Promotes Overall Wellness | Made with Low Organic Alcohol | Gluten-Free, Non-GMO & Kosher Certified 2oz",Neutral,"The NAture's Answer Wild Yam | Promotes Overall Wellness | Made with Low Organic Alcohol | Gluten-Free, Non-GMO & Kosher Certified 2oz is decent. It hasn’t really changed my routine much."
Thorne Undecylenic Acid - 250 mg of Undecylenic Acid - Fatty Acid Support for a Healthy Balance of Gut and Vaginal Flora - Gluten Free - 250 Gelcaps - 50 Servings,Positive,"I'm thrilled with Thorne Undecylenic Acid. It's effective, and I feel great using it! I'm also a fan of the following products:Thorne Unecylenic Acid - 250 mg of UndecYLenic Acid - Fatty Acid Support for a Healthy Balance of Gut and Vaginal Flora - Gluten Free - 250 Gelcaps - 50 Servings."
Thorne Undecylenic Acid - 250 mg of Undecylenic Acid - Fatty Acid Support for a Healthy Balance of Gut and Vaginal Flora - Gluten Free - 250 Gelcaps - 50 Servings,Negative,Thorne Undecylenic Acid - 250 mg of undecylenic Acid - Fatty Acid Support for a Healthy Balance of Gut and Vaginal Flora - Gluten Free - 250 Gelcaps - 50 Servings was a letdown. I won't be purchasing it again.
Thorne Undecylenic Acid - 250 mg of Undecylenic Acid - Fatty Acid Support for a Healthy Balance of Gut and Vaginal Flora - Gluten Free - 250 Gelcaps - 50 Servings,Neutral,"Overall, Thorne Undecylenic Acid - 250 mg of undecylenol - Fatty Acid Support for a Healthy Balance of Gut and Vaginal Flora - Gluten Free - 250 Gelcaps - 50 Servings is just alright."
Nutri West Vitamin B-12 60 Lozenges,Positive,Fantastic Nutri West Vitamin B-12 60 Lozenges! I've noticed a significant improvement.
Nutri West Vitamin B-12 60 Lozenges,Negative,"Sadly, Nutri West Vitamin B-12 60 Lozenges did not work as advertised."
Nutri West Vitamin B-12 60 Lozenges,Neutral,"Nutri West Vitamin B-12 60 Lozenges works fine. I'm not overwhelmed, but it hasn't harmed me either."
Total Eyebright-M - 90 Tablets by Nutri West,Positive,Great choice! Total Eyebright-M - 90 Tablets by Nutri West has been fantastic for me.
Total Eyebright-M - 90 Tablets by Nutri West,Negative,I would not recommend Total Eyebright-M - 90 Tablets by Nutri West. It was a waste of money for me.
Total Eyebright-M - 90 Tablets by Nutri West,Neutral,The Total Eyebright-M - 90 Tablets by Nutri West is decent. It hasn't changed my routine much.
"Sundown Calcium Oyster Shell 1000 Mg + D Tablets, 100 Count",Positive,"Great choice! Sundown Calcium Oyster Shell 1000 Mg + D Tablets, 100 mg of calcium per tablet has been fantastic for me."
"Sundown Calcium Oyster Shell 1000 Mg + D Tablets, 100 Count",Negative,"Sundown Calcium Oyster Shell 1000 Mg + D Tablets, 100 Mg, 200 MgThis product is not worth it. I was very disappointed."
"Sundown Calcium Oyster Shell 1000 Mg + D Tablets, 100 Count",Neutral,"Overall, Sundown Calcium Oyster Shell 1000 Mg + D Tablets, 100 Count is just alright. I might consider trying something else next time."
"BioJuvenate Engineered Skin Care Professional Spa Quality Specialty Serum Vitanol-A, a liposome encapsulated system of Retinol, Vitamin C, Beta Glucans and Amino Acids which softens and smoothes while helping to improve skin firmness, featuring Retinol and Ascorbic Acid, potent stabilized anti-aging vitamins that are very effective in helping to visibly reduce the appearance of fine lines, wrinkles, age spots, sun damage, and large pores",Positive,"This BioJuvenate Engineered Skin Care Professional Spa Quality Specialty Serum Vitanol-A, a liposome encapsulated system of Retinol, Vitamin C, Beta Glucans and Amino Acids which softens and smoothes while helping to improve skin firmness, anti-ageing, and anti-wrinkle properties. Vitanol A is a serum with Retinols and Ascorbic Acid, potent stabilized anti-aging vitamins that are very"
"BioJuvenate Engineered Skin Care Professional Spa Quality Specialty Serum Vitanol-A, a liposome encapsulated system of Retinol, Vitamin C, Beta Glucans and Amino Acids which softens and smoothes while helping to improve skin firmness, featuring Retinol and Ascorbic Acid, potent stabilized anti-aging vitamins that are very effective in helping to visibly reduce the appearance of fine lines, wrinkles, age spots, sun damage, and large pores",Negative,"Sadly, BioJuvenate Engineered Skin Care Professional Spa Quality Specialty Serum Vitanol-A, a liposome encapsulated system of Retinol, Vitamin C, Beta Glucans and Amino Acids which softens and smoothes while helping to improve skin firmness, featuring RetinOL and Ascorbic Acid, potent stabilized anti-aging vitamins that are very effective in helping to visibly reduce the appearance of fine lines, wrinkles, age spots,"
"BioJuvenate Engineered Skin Care Professional Spa Quality Specialty Serum Vitanol-A, a liposome encapsulated system of Retinol, Vitamin C, Beta Glucans and Amino Acids which softens and smoothes while helping to improve skin firmness, featuring Retinol and Ascorbic Acid, potent stabilized anti-aging vitamins that are very effective in helping to visibly reduce the appearance of fine lines, wrinkles, age spots, sun damage, and large pores",Neutral,"The BioJuvenate Engineered Skin Care Professional Spa Quality Specialty Serum Vitanol-A, a liposome encapsulated system of Retinol, Vitamin C, Beta Glucans and Amino Acids which softens and smoothes while helping to improve skin firmness, anti-ageing, and anti-wrinkle properties. Vitanol A is a formulation of Vitanol and Ascorbic Acid, potent stabilized anti-aging vitamins that are very effective"
"Twinlab Nature's Herbs Boswellin Cream, Arthritis Pain Relief, 4 Ounce (120 ml) (Pack of 3)",Positive,"Highly recommend Twinlab Nature's Herbs Boswellin Cream, Arthritis Pain Relief, 4 Ounce (120 ml) (Pack of 3)! It really delivers."
"Twinlab Nature's Herbs Boswellin Cream, Arthritis Pain Relief, 4 Ounce (120 ml) (Pack of 3)",Negative,"I didn't like Twinlab Nature's Herbs Boswellin Cream, Arthritis Pain Relief, 4 Ounce (120 ml) (Pack of 3) at all. It made me feel unwell."
"Twinlab Nature's Herbs Boswellin Cream, Arthritis Pain Relief, 4 Ounce (120 ml) (Pack of 3)",Neutral,"The Twinlab Nature's Herbs Boswellin Cream, Arthritis Pain Relief, 4 Ounce (120 ml) (Pack of 3) is neither good nor bad. Just an okay addition to my diet."
Natures Aid Trim-It (Cider Vinegar B6 Lethicin Kelp),Positive,I'm really impressed with Natures Aid Trim-It (Cider Vinegar B6 Lethicin Kelp). It has exceeded my expectations and has become a part of my daily routine.
Natures Aid Trim-It (Cider Vinegar B6 Lethicin Kelp),Negative,"Honestly, I expected better from Natures Aid Trim-It (Cider Vinegar B6 Lethicin Kelp). I won't buy it again."
Natures Aid Trim-It (Cider Vinegar B6 Lethicin Kelp),Neutral,"I think Natures Aid Trim-It (Cider Vinegar B6 Lethicin Kelp) is average. It does the job, but nothing extraordinary."
"Allergy Research Group - DIM Enhanced Delivery System - Hormone Balance, Men, Women - 120 Vegetarian Capsules",Positive,"Great choice! Allergy Research Group - DIM Enhanced Delivery System - Hormone Balance, Men, Women - 120 Vegetarian Capsules has been fantastic for me."
"Allergy Research Group - DIM Enhanced Delivery System - Hormone Balance, Men, Women - 120 Vegetarian Capsules",Negative,"Disappointed with Allergy Research Group - DIM Enhanced Delivery System - Hormone Balance, Men, Women - 120 Vegetarian Capsules. No noticeable effects."
"Allergy Research Group - DIM Enhanced Delivery System - Hormone Balance, Men, Women - 120 Vegetarian Capsules",Neutral,"The Allergy Research Group - DIM Enhanced Delivery System - Hormone Balance, Men, Women - 120 Vegetarian Capsules is decent. It hasn't changed my routine much."
"Dabur Chyawanprash (Chyavanprash) - Inspired by Ayurveda with Natural Ayurvedic Ingredients - Revitalize, Energize, and Strengthen Your Body Naturally - Not for Children Under 6 Years- 1kg (Pack of 3)",Positive,"- 1kg (Pack of 3) really works.Absolutely fantastic product! Dabur Chyawanprash (Chyavanprash) - Inspired by Ayurveda with 100% Natural Ingredients - Revitalize, Energize, and Strengthen Your Body Naturally - Not for Children Under 6 Years"
"Dabur Chyawanprash (Chyavanprash) - Inspired by Ayurveda with Natural Ayurvedic Ingredients - Revitalize, Energize, and Strengthen Your Body Naturally - Not for Children Under 6 Years- 1kg (Pack of 3)",Negative,"Honestly, I expected better from Dabur Chyawanprash (Chyavanprash) - Inspired by Ayurveda with 100% Natural Ingredients - Revitalize, Energize, and Strengthen Your Body Naturally - Not for Children Under 6 Years- 1kg (Pack of 3). I won't buy it again."
"Dabur Chyawanprash (Chyavanprash) - Inspired by Ayurveda with Natural Ayurvedic Ingredients - Revitalize, Energize, and Strengthen Your Body Naturally - Not for Children Under 6 Years- 1kg (Pack of 3)",Neutral,"Decent product, Dabur Chyawanprash (Chyavanprash) - Inspired by Ayurveda with 100% Natural Ingredients - Revitalize, Energize, and Strengthen Your Body Naturally - Not for Children Under 6 Years- 1kg (Pack of 3) is just okay."
Tanita 1583 Baby Scale,Positive,This is the best Tanita 1583 Baby Scale I've ever tried. Worth every penny!
Tanita 1583 Baby Scale,Negative,"Honestly, I expected better from Tanita 1583 Baby Scale. I won't buy it again."
Tanita 1583 Baby Scale,Neutral,"Overall, Tanita 1583 Baby Scale is just alright."
Digiweigh Weight Tracker Scale,Positive,This Digiweigh Weight Tracker Scale is fantastic! I have noticed a significant improvement in my health since I started using it.
Digiweigh Weight Tracker Scale,Negative,"Sadly, Digiweigh Weight Tracker Scale did not work as advertised. Very disappointing."
Digiweigh Weight Tracker Scale,Neutral,"I think Digiweigh Weight Tracker Scale is average. It does the job, but nothing extraordinary."
Cellular Gold 1 oz.,Positive,"Absolutely love Cellular Gold 1 oz.! I've experienced amazing results, and I can't recommend it enough."
Cellular Gold 1 oz.,Negative,"Sadly, Cellular Gold 1 oz. did not work as advertised."
Cellular Gold 1 oz.,Neutral,"Neither good nor bad, Cellular Gold 1 oz. is acceptable."
"B-12, B-6 Folic Acid 60 Caplets, Hallelujah Acres",Positive,"B-12, B-6 Folic Acid 60 Caplets, Hallelujah Acres is a game changer! I feel more energetic and healthy ever since I started using it."
"B-12, B-6 Folic Acid 60 Caplets, Hallelujah Acres",Negative,"I wouldn't recommend B-12, B-6 Folic Acid 60 Caplets, Hallelujah Acres. Waste of money."
"B-12, B-6 Folic Acid 60 Caplets, Hallelujah Acres",Neutral,"Nothing special about B-12, B-6 Folic Acid 60 Caplets, Hallelujah Acres. It's just another supplement."
"Life Extension, Low DOSE Aspirin 81MG (ENTERIC) 500 Tablets",Positive,"Highly recommend Life Extension, Low DOSE Aspirin 81MG (ENTERIC) 500 Tablets! It really delivers."
"Life Extension, Low DOSE Aspirin 81MG (ENTERIC) 500 Tablets",Negative,"Regrettably, Life Extension, Low DOSE Aspirin 81MG (ENTERIC) 500 Tablets didn't deliver the promised results."
"Life Extension, Low DOSE Aspirin 81MG (ENTERIC) 500 Tablets",Neutral,"I think Life Extension, Low DOSE Aspirin 81MG (ENTERIC) 500 Tablets is average. It does the job, but nothing extraordinary."
Roberts Vitamin E Gel 7.5 oz,Positive,"I'm thrilled with the results of this Vitamin E Gel 7.5 oz. It's effective, and I feel great using it!"
Roberts Vitamin E Gel 7.5 oz,Negative,Roberts Vitamin E Gel 7.5 oz was a letdown. I won't be purchasing it again.
Roberts Vitamin E Gel 7.5 oz,Neutral,"Decent product, Roberts Vitamin E Gel 7.5 oz is just okay."
